INT	INT	INT	STRING
INT	INT	INT	STRING
1	1	0	#Y如何使账号更安全
2	1	0	#Y账号密码功能介绍
3	1	0	#Y密码保护功能介绍
4	1	0	#Y如何修改密码
5	1	0	#Y网络安全常识
6	1	0	#Y找回账号方法
7	2	2	#Y登录密码
8	2	2	#Y超级密码
9	2	2	#Y注册邮箱
10	2	2	#Y密码保护
11	3	7	#Y登录密码#r#r#W作用：密码是用户登录时用来验证身份的。#r如何提高安全指数：为了您的账号安全，密码最好不要设置成常用数字，如生日、电话号码、手机号码、名称拼音等。密码最好是包含大小写字母、数字、符号在内的组合，比如wish94XW!。
12	3	8	#Y超级密码#r#r#W作用：超级密码是您修改和找回登录密码的唯一途径，也是您申请密保时的唯一身份验证。如果您忘记了登录密码，可以通过超级密码进行找回。#r如何提高安全指数：为了您的账号安全，超级密码最好不要设置成常用数字，如生日、电话号码、手机号码、名称拼音等。密码最好是包含大小写字母、数字在内的组合，比如J2me。
13	3	9	#Y注册邮箱#r#r#W作用：注册邮箱是您找回超级密码的唯一途径，如果您忘记了超级密码，可以通过这个邮箱重新设定超级密码，安全方便。同时也可以在发现账号被盗时用来冻结账号以减少个人损失。#r如何设置：可以填写您常用的邮箱。所填写的注册邮箱一定要记好，用注册邮箱找回超级密码时要对此邮箱进行验证。由于个别免费邮箱可能会对验证邮件进行屏蔽，我们建议您申请#W搜狐的免费邮箱或是使用收费邮箱作为注册邮箱。
14	3	10	#Y密码保护#r#r#W作用：#W密码保护资料将作为账号所有权的#W最高认证信息。#r特别提醒：密码保护资料一旦设定，将不可自行修改、查看，建议您如实填写并请您一定妥善保管，若由不实填写或个人信息泄露带来的账号纠纷，责任由会员自行承担。#r如何设置：登录账号管理中心，填写密码保护资料，即可获得密码保护。为了用户的账号安全，填写密码保护资料时，请务必提供真实有效的信息并妥善保管。
15	2	2	#Y日常应注意的安全问题
16	3	15	#Y日常应注意的安全问题#r#r#W完善账号安全信息设置，并妥善保存，不要随便将密码及其它账号信息告诉他人；#r经常修改登录密码；一旦觉得账号密码可能泄露，立即修改；#r在网吧等公用计算机上登录时，不要使用IE浏览器的自动完成和记住密码功能；#r不要轻易安装来历不明的软件，特别是那些网上到处泛滥的所谓外挂，谨防木马；#r在离开时别忘了关闭所有窗口。
17	2	3	#Y一键加锁
